,sdss_id,ra,dec,z
1034,J215556.95-065337.9,328.987304688,-6.893876075739999,0.0658033639193
1035,J215701.72-075022.5,329.257171631,-7.8395929336500005,0.0620341300964
1036,J215716.83-075450.5,329.320129395,-7.91402721405,0.0577965043485
1037,J215723.22-075549.1,329.34677124,-7.930328369139999,0.0575673654675
1038,J215729.42-074744.5,329.37261962900004,-7.795741081239999,0.0579538084567
1039,J215838.85-075042.2,329.661895752,-7.845057010650001,0.05842465907340001
1040,J220151.97+001908.4,330.466552734,0.31899484992,0.0639943480492
1041,J220201.62+000747.3,330.506774902,0.129767507315,0.0629768148065
1042,J220620.52+010715.7,331.58547973599997,1.12103247643,0.0484635159373
1043,J220756.59+002212.5,331.985839844,0.37016376853,0.056128077209
1044,J221212.35-010506.2,333.05148315400004,-1.08500695229,0.0560882501304
1045,J221957.25-073958.2,334.988525391,-7.666196823119999,0.037786506116400005
1046,J222012.69-080635.8,335.05291748,-8.11000919342,0.0599526017904
1047,J222022.94+002035.0,335.095611572,0.343058794737,0.0611296072602
1048,J222527.98+000541.7,336.366546631,0.0949268713593,0.0579766370356
1049,J222708.41-004337.8,336.785095215,-0.727203369141,0.0567804425955
1050,J222720.57-004045.0,336.835693359,-0.679192006588,0.056938573718099995
1051,J222721.06-004041.1,336.837738037,-0.67811113596,0.0565926395357
1052,J222721.91-010942.3,336.841278076,-1.16174685955,0.0591611415148
1053,J222813.18+000150.2,337.054931641,0.030641609802799997,0.0564756952226
1054,J222854.74-093709.5,337.22808837900004,-9.61929321289,0.0558869317174
1055,J223016.67-002424.7,337.56945800799997,-0.40688890218699997,0.0635750219226
1056,J223234.47-093109.1,338.14364624,-9.51920700073,0.0346822403371
1057,J223840.65+000603.4,339.669403076,0.100987918675,0.0590416677296
1058,J224005.22-004827.7,340.021789551,-0.807705819607,0.053198155015699994
1059,J224103.35-004304.3,340.263977051,-0.717812299728,0.05881912633780001
1060,J224919.16+002008.9,342.329864502,0.33580407500299997,0.0688388720155
1061,J225510.03-002433.8,343.791809082,-0.409374177456,0.0688728541136
1062,J225827.51-001601.2,344.614593506,-0.266997396946,0.054306451231199995
1063,J230530.95+004920.3,346.378997803,0.822309970856,0.06942367553710001
1064,J230558.94+005213.7,346.495605469,0.870449721813,0.0682043209672
1065,J230641.33-005106.6,346.672210693,-0.8518496155740001,0.054814096540199995
1066,J230748.94+005625.8,346.953887939,0.940548181534,0.0418516434729
1067,J231141.19+003126.8,347.921600342,0.524127781391,0.06952078640460001
1068,J231209.18+134214.9,348.038269043,13.7041397095,0.06720128655430001
1069,J231541.38+000605.5,348.922454834,0.101591221988,0.0688077658415
1070,J233151.18-005750.3,352.96325683599997,-0.96398293972,0.0582667551935
1071,J233441.96+001057.0,353.67486572300004,0.182527273893,0.0574729703367
1072,J234107.25+000542.7,355.28021240199996,0.0952448174357,0.06867603957650001
1073,J234646.15+160235.1,356.69232177699996,16.0430831909,0.0416443869472
1074,J234708.53-003639.1,356.78558349599996,-0.610837876797,0.0373296998441
1075,J235410.08+002258.3,358.542022705,0.382863402367,0.0261356700212
1076,J235626.51-110509.4,359.110473633,-11.085906982400001,0.043723616749
