,objID,ra,dec,best_match,sky_separation
0,587728308563149023,163.25017451,2.13775084,611585,170.08386477873353
1,587736619864424882,246.30963988,24.00786728,295202,50.84955401151137
2,587739810498674864,241.13881939,16.01206138,443207,65.9276981402917
3,587739707425161339,250.33604265,13.43253355,549711,45.23122333198197
4,587741830731137142,165.41952304,24.85889182,486494,11.215013302602589
5,587742614559522990,235.08944065,15.96451823,536854,11.68642787815324
6,587726102560309281,220.76890784,5.02566718,83104,354.07952293214413
7,587734894357381205,165.23643361,10.50421181,587884,10.915599659420891
8,587744874791632907,135.79723032,13.63234237,480371,311.113047395193
9,587728309103165709,170.40671773,2.69407231,62673,317.4842198288384
10,587729776371302561,216.24636881,-3.06702329,593021,12.176839306072186
11,587744874253058126,132.09391903,12.36963105,479074,174.88391831581342
12,587729158980370567,226.59775304,3.59730025,83530,516.770833591694
13,587722952767766870,237.94514248,-0.10516887,21234,488.9140559536613
14,587722952767766918,237.96292353,-0.1124772,21234,505.29416904606876
